date,lower,upper
1959-1,314.9832266,316.7483224
1959-2,315.4558643,316.5369878
1959-3,315.8727362,317.9158419
1959-4,317.3080222,318.0256526
1959-5,317.2554177,318.8666836
1959-6,317.0020882,318.736544
1959-7,315.0232215,316.7075169
1959-8,313.5502417,315.9298034
1959-9,312.1670723,313.7378564
1959-10,311.7551489,314.2771961
1959-11,313.8279622,315.7393971
1959-12,315.1452349,316.2368234
1960-1,315.5339191,317.2325182
1960-2,315.9303139,316.9920297
1960-3,317.2650257,317.6852914
1960-4,317.8585961,319.2403598
1960-5,318.5341861,321.3279306
1960-6,318.1903953,319.5487999
1960-7,317.6556545,319.2898799
1960-8,315.4237828,317.0772955
1960-9,312.5660408,314.9524791
1960-10,312.4853434,314.42471
1960-11,314.6345673,315.2080336
1960-12,315.8456201,316.7950263
1961-1,315.88211,317.8021191
1961-2,315.952897,317.8271572
1961-3,317.0494424,319.2109214
1961-4,318.0933505,320.7201445
1961-5,319.6317081,320.8705283
1961-6,319.4307331,320.5431662
1961-7,317.6834286,319.4468632
1961-8,315.5419503,317.3650332
1961-9,314.5909969,315.1600827
1961-10,314.0369049,316.5880287
1961-11,315.8926578,316.4010624
1961-12,315.7678537,317.2645518
1962-1,317.5711699,318.9033468
1962-2,317.6657274,318.6956141
1962-3,318.8925329,320.8860203
1962-4,319.5962143,321.3289516
1962-5,319.8410936,321.8227013
1962-6,318.9468287,320.9477374
1962-7,318.1001224,320.5541451
1962-8,316.9132351,318.6651007
1962-9,315.5437238,316.5573791
1962-10,314.3050996,316.7177984
1962-11,316.5081882,316.6999531
1962-12,315.967495,318.0552334
1963-1,317.7904679,319.4249599
1963-2,318.7577849,320.5139794
1963-3,319.2541063,320.4715135
1963-4,320.1029719,322.6911879
1963-5,321.0143561,323.6106149
1963-6,321.2137287,322.6596685
1963-7,319.2805528,319.8418101
1963-8,316.1722314,317.8005144
1963-9,315.6678458,316.1485223
1963-10,314.7755887,316.3554233
1963-11,315.7941756,317.7110339
1963-12,317.8235782,318.3028493
1964-1,318.3926571,320.9127072
1964-2,320.0663992,321.4046841
1964-3,319.6821188,322.0288059
1964-4,321.2583169,322.2579673
1964-5,321.1306877,323.1375888
1964-6,320.4709167,321.7666007
1964-7,318.7002412,320.9646443
1964-8,317.972003,319.0993783
1964-9,315.3903746,317.4338282
1964-10,316.4988404,317.002103
1964-11,316.3188451,317.8563288
1964-12,317.4160163,318.6492742
1965-1,317.8514962,320.0024423
1965-2,319.7631961,320.3410807
1965-3,319.4319639,321.3432445
1965-4,320.4679436,323.1900443
1965-5,321.2768431,323.4193659
1965-6,321.2302357,322.6910832
1965-7,319.5583061,321.483219
1965-8,317.6742099,319.8543324
1965-9,317.6369256,318.1824495
1965-10,316.7398656,317.2686293
1965-11,317.4326251,318.8695522
1965-12,318.3676928,319.7184795
1966-1,319.1212367,321.180516
1966-2,320.3950988,322.3289307
1966-3,320.7093875,322.3391738
1966-4,322.6947894,323.6323688
1966-5,323.8446778,324.4271228
1966-6,323.3374387,324.6675718
1966-7,320.6785599,322.7809565
1966-8,319.1427793,321.0502462
1966-9,317.9100414,319.1509249
1966-10,317.005418,319.0189329
1966-11,318.1374955,320.5585405
1966-12,319.863804,321.3395568
1967-1,321.6079651,323.1194173
1967-2,321.5318333,322.5531869
1967-3,321.354842,324.3821585
1967-4,322.8529084,325.0680073
1967-5,323.424149,325.3850771
1967-6,322.7594199,324.718354
1967-7,322.3244614,323.4390597
1967-8,319.818319,321.4523295
1967-9,319.0958945,319.9222126
1967-10,318.0240981,320.2557885
1967-11,318.986686,321.3033966
1967-12,320.4527494,321.9197488
1968-1,321.9496659,323.0122082
1968-2,321.4618047,323.6141123
1968-3,322.966657,324.7781546
1968-4,324.5279064,326.2906002
1968-5,325.3179506,326.2837155
1968-6,324.9678404,326.819762
1968-7,323.2106612,325.1955409
1968-8,321.1529473,322.6378955
1968-9,320.007768,321.5301679
1968-10,319.5174096,320.7131205
1968-11,320.4860867,322.0096372
1968-12,321.6633915,323.2332376
1969-1,323.784731,324.4643215
1969-2,323.1482136,324.2965915
1969-3,324.3334348,326.1084264
1969-4,326.021095,327.9963784
1969-5,326.0264622,327.617741
1969-6,325.1639652,326.7798432
1969-7,324.2609829,326.9199709
1969-8,322.5113182,325.1062825
1969-9,321.4619307,323.8090483
1969-10,321.5416113,322.5499472
1969-11,321.4787608,324.0481103
1969-12,322.9172545,325.4854406
1970-1,324.5310969,325.5504838
1970-2,324.7664642,326.3436368
1970-3,326.6869707,326.8755068
1970-4,327.4824399,329.2193265
1970-5,327.6415763,327.9532121
1970-6,327.4709477,328.9648246
1970-7,325.5484043,326.9739305
1970-8,323.1817505,325.5648195
1970-9,322.2970895,323.5902581
1970-10,322.481456,324.1947456
1970-11,323.3372258,323.9736452
1970-12,323.9210637,326.0413216
1971-1,325.405003,327.0235207
1971-2,325.5433598,328.0242577
1971-3,325.9965155,328.0169935
1971-4,327.4261726,328.4681043
1971-5,327.3266991,329.7559784
1971-6,327.2531291,329.2749571
1971-7,327.1484477,328.1904528
1971-8,324.3039409,326.0015676
1971-9,322.3808324,323.9745591
1971-10,321.9574098,324.0639358
1971-11,323.0164389,325.3269793
1971-12,324.6639626,326.3424594
1972-1,325.8387455,327.1691781
1972-2,326.2658691,328.9680205
1972-3,326.3885717,327.6508884
1972-4,328.7508359,330.6006975
1972-5,329.3517972,331.0223428
1972-6,327.7985952,329.8329347
1972-7,327.3498096,329.3899426
1972-8,324.8126245,326.7851166
1972-9,324.5919611,325.0271903
1972-10,324.3173826,325.9169042
1972-11,324.7193857,327.2207121
1972-12,327.1862258,327.5504504
1973-1,327.140793,329.3952436
1973-2,328.7129552,330.3769426
1973-3,328.6407154,330.8469136
1973-4,330.9034199,332.8125346
1973-5,331.7820098,332.4444074
1973-6,331.5828147,332.1679618
1973-7,330.6077991,331.0932452
1973-8,328.7277185,329.7636822
1973-9,326.827601,328.2267308
1973-10,326.7025131,327.8202608
1973-11,327.7003505,328.7967884
1973-12,327.5227199,329.0860327
1974-1,327.7119583,329.2633555
1974-2,329.5078845,331.0853649
1974-3,331.0633425,331.5901955
1974-4,331.0353751,333.6291355
1974-5,332.6901215,333.263277
1974-6,332.0551003,333.4289877
1974-7,329.6371039,331.5898877
1974-8,328.3213214,330.6986741
1974-9,326.5467488,328.0007041
1974-10,326.5046609,327.9369416
1974-11,327.0965767,328.4329748
1974-12,328.1380131,330.1165571
1975-1,328.6543367,331.7787521
1975-2,331.0953289,331.7241975
1975-3,331.69188,332.2484212
1975-4,333.1317319,334.7711389
1975-5,333.7426625,334.1076127
1975-6,332.6988317,334.5531122
1975-7,330.8579547,332.4541192
1975-8,328.991616,331.0963328
1975-9,327.9424144,329.9609566
1975-10,328.0913247,329.1153125
1975-11,327.7645078,329.9073364
1975-12,330.5761669,331.8121766
1976-1,330.7384658,332.6304027
1976-2,330.9064213,333.7189983
1976-3,333.2892384,334.3748773
1976-4,333.0452084,335.9769902
1976-5,333.7821753,336.2608731
1976-6,332.661248,334.7380555
1976-7,331.7434336,333.9213584
1976-8,329.5155591,331.5064466
1976-9,327.7698653,329.4781575
1976-10,327.8848846,330.3877066
1976-11,329.4841181,330.4865313
1976-12,330.8198934,332.0199717
1977-1,331.8702886,333.6772134
1977-2,333.1009652,333.7185355
1977-3,334.3044172,334.5773657
1977-4,335.0418495,337.3962472
1977-5,335.0145279,337.7449261
1977-6,334.523762,336.5876471
1977-7,333.7773218,336.0607485
1977-8,331.6770627,334.2204028
1977-9,330.4669643,331.7526225
1977-10,329.36009,330.9969342
1977-11,330.5996836,333.4649679
1977-12,332.3564247,335.2140784
1978-1,333.6921356,334.8530527
1978-2,333.7878781,336.3287531
1978-3,335.9715469,337.5074815
1978-4,337.2727243,339.209412
1978-5,336.4357446,338.8336792
1978-6,336.276279,338.0424378
1978-7,335.2004785,336.5294743
1978-8,334.4336458,334.7633972
1978-9,330.9545946,333.563004
1978-10,331.3681083,332.7669624
1978-11,333.3651593,334.1035333
1978-12,333.9949077,335.2897888
1979-1,334.6402889,336.2256457
1979-2,335.0708128,337.464112
1979-3,337.1810266,338.4829464
1979-4,337.464818,339.0686926
1979-5,338.3754894,340.2916483
1979-6,338.7716735,340.7273066
1979-7,337.4294903,339.1196213
1979-8,335.7277143,336.6430697
1979-9,332.2868405,334.627942
1979-10,333.2953316,334.6224879
1979-11,334.397416,335.7620087
1979-12,336.4555161,336.5738042
1980-1,337.6823139,338.8172918
1980-2,337.1606989,339.6042026
1980-3,339.6141936,340.1275181
1980-4,340.0627386,341.7859748
1980-5,341.1222455,342.5964306
1980-6,340.8592273,342.3263554
1980-7,338.4638385,340.4435005
1980-8,336.4079254,338.0441083
1980-9,335.2164787,336.6008884
1980-10,334.8508463,337.096132
1980-11,335.2872199,337.4070423
1980-12,337.7201868,339.0650901
1981-1,338.8472702,339.2096965
1981-2,339.7803278,341.3348995
1981-3,339.6680965,342.0682707
1981-4,341.0328265,343.5164991
1981-5,341.4695706,343.1556698
1981-6,341.0163703,343.4175864
1981-7,338.7690732,341.0228953
1981-8,337.4298725,338.5168202
1981-9,335.9927113,336.6746514
1981-10,336.1822922,337.7159833
1981-11,337.9426406,338.7426244
1981-12,338.1775268,340.9525164
1982-1,339.844561,341.9577042
1982-2,339.7935241,341.6197596
1982-3,341.8041766,342.6817167
1982-4,342.1219242,343.4438405
1982-5,343.8443821,344.3241989
1982-6,342.3780038,343.9792014
1982-7,340.5933532,342.7998952
1982-8,338.9292745,340.251323
1982-9,336.1616108,339.3992526
1982-10,337.1657921,338.4488476
1982-11,338.2457081,340.5836499
1982-12,339.9226892,341.1652466
1983-1,340.9941869,341.888542
1983-2,341.2991505,342.9566206
1983-3,342.3038135,344.6228726
1983-4,343.639693,345.79399
1983-5,345.5613324,345.9730222
1983-6,343.9337204,346.1622961
1983-7,343.3137089,345.1330716
1983-8,341.5403324,342.5905856
1983-9,338.5724246,341.186326
1983-10,339.139493,340.2822993
1983-11,339.9830774,341.8523095
1983-12,341.4582128,343.3577349
1984-1,343.1883042,343.9679883
1984-2,344.139661,345.6856325
1984-3,344.0990446,346.2353804
1984-4,345.3735442,347.3916905
1984-5,346.47249,347.8434764
1984-6,345.9066126,348.2919583
1984-7,344.7231318,345.8549467
1984-8,341.8579794,343.2711599
1984-9,339.2592208,341.9767508
1984-10,340.0517165,342.334813
1984-11,342.0710581,343.3191009
1984-12,342.8879624,345.7338747
1985-1,343.4810282,345.6077138
1985-2,345.1287177,346.7464388
1985-3,347.0760746,347.9628081
1985-4,347.6061415,349.8494262
1985-5,347.7003995,349.6922713
1985-6,346.7978927,349.4074225
1985-7,346.2968222,347.2165594
1985-8,344.1782092,345.810958
1985-9,341.8686942,342.9899234
1985-10,341.3838071,342.9443583
1985-11,343.0820058,344.7424222
1985-12,344.2459903,347.0317522
1986-1,345.6889133,346.6022473
1986-2,345.9806847,348.0106477
1986-3,346.2421192,349.1842581
1986-4,348.4770398,350.2682161
1986-5,349.5006222,350.5318329
1986-6,348.7951732,349.7089825
1986-7,346.202472,349.3949558
1986-8,345.0177502,345.7420364
1986-9,343.2309038,345.4131207
1986-10,342.5426568,345.4764354
1986-11,343.9833904,346.6383855
1986-12,346.7030929,348.131764
1987-1,346.9216384,348.9725778
1987-2,347.2738686,348.3748162
1987-3,347.808321,349.2438537
1987-4,350.7887668,352.1225731
1987-5,351.2724244,351.8299923
1987-6,350.5044625,352.7551391
1987-7,348.9376183,350.998665
1987-8,347.2229241,348.3024961
1987-9,345.706924,346.5151222
1987-10,345.0623949,347.3458041
1987-11,345.9024918,348.9378005
1987-12,348.5209033,349.2675397
1988-1,348.948006,351.6051816
1988-2,350.5620516,352.8575946
1988-3,351.2206719,352.7572047
1988-4,351.7869311,355.0574219
1988-5,352.9270805,355.2506152
1988-6,353.2368598,354.7642709
1988-7,351.7648027,353.2251174
1988-8,349.5509293,351.0396479
1988-9,347.12012,349.2529126
1988-10,346.9937148,348.7672423
1988-11,348.967143,350.7599168
1988-12,350.0161918,351.5007873
1989-1,351.5419783,353.2026974
1989-2,352.6374862,354.1803047
1989-3,353.1940829,354.0069878
1989-4,354.3646309,355.8043389
1989-5,353.8656479,355.9730042
1989-6,353.785712,356.2763012
1989-7,352.288583,353.8209721
1989-8,350.401294,352.5476393
1989-9,349.463959,350.523655
1989-10,348.5630113,349.8590339
1989-11,350.8304622,351.3271086
1989-12,352.1685475,352.9013385
1990-1,353.2456745,354.1099511
1990-2,352.9927424,355.0231637
1990-3,353.4683472,355.361416
1990-4,354.7958001,357.4512583
1990-5,356.754124,357.1268887
1990-6,355.9568511,356.8671973
1990-7,354.2542813,355.5487458
1990-8,352.1516408,352.8937204
1990-9,349.6588176,352.0623364
1990-10,350.6205437,352.0045418
1990-11,352.5221914,353.2554606
1990-12,352.5481286,355.0463142
1991-1,354.0605755,355.0209255
1991-2,354.5979497,355.9672315
1991-3,355.7606963,358.7317934
1991-4,358.3018303,358.5339657
1991-5,357.5948091,360.8443127
1991-6,357.7397687,359.4379159
1991-7,355.7958695,357.0285115
1991-8,353.1816207,355.3068294
1991-9,351.6674718,353.3048138
1991-10,352.0959109,352.9805283
1991-11,353.5765199,354.0575111
1991-12,353.7918183,356.3101836
1992-1,354.8319908,356.079603
1992-2,355.7210545,357.6283049
1992-3,357.1587205,358.4838523
1992-4,357.7248131,360.6019189
1992-5,359.1986155,360.613382
1992-6,358.2266305,359.7424501
1992-7,356.6894467,357.0490546
1992-8,354.0059608,356.0897032
1992-9,351.5458795,354.4329347
1992-10,352.4670168,353.6739301
1992-11,353.8454283,354.7133779
1992-12,353.6296445,355.3725301
1993-1,355.8596449,357.7901173
1993-2,355.4776266,358.199986
1993-3,356.8295588,360.004553
1993-4,358.8533557,360.350809
1993-5,359.6860896,360.7531537
1993-6,358.0042666,361.0780046
1993-7,357.2070815,359.0729089
1993-8,355.2584541,356.250191
1993-9,353.2067157,353.6812072
1993-10,353.4837601,354.0618264
1993-11,354.5598052,355.3851083
1993-12,356.048284,357.707909
1994-1,357.8499783,360.0147544
1994-2,357.7185142,359.1124656
1994-3,358.7177272,360.4007825
1994-4,361.0722968,362.2891632
1994-5,361.0380981,362.8080321
1994-6,360.4844139,361.1588044
1994-7,358.0220421,361.131595
1994-8,356.0332658,357.6056368
1994-9,354.3638429,357.078271
1994-10,355.9584751,357.4340717
1994-11,355.9606141,358.2092755
1994-12,357.8603513,360.627769
1995-1,359.9155822,361.0940547
1995-2,360.0317854,361.5291167
1995-3,360.1976512,362.3940169
1995-4,362.8327173,364.8148023
1995-5,363.226528,365.4466655
1995-6,362.9179662,363.4601955
1995-7,361.8809857,363.6932571
1995-8,358.0518444,359.7674476
1995-9,357.0775764,359.570856
1995-10,357.2471438,357.8629576
1995-11,359.0298672,360.5478638
1995-12,359.2279299,361.9162185
1996-1,360.6938627,362.7117044
1996-2,363.0162007,363.8508917
1996-3,362.4262045,365.8132874
1996-4,363.7444565,365.6434654
1996-5,365.2050281,366.827312
1996-6,363.2082336,365.3556229
1996-7,362.2321213,363.7974791
1996-8,360.8715618,362.9384132
1996-9,358.655284,360.3002687
1996-10,358.9631021,360.2203282
1996-11,359.461567,361.088992
1996-12,360.832492,362.4240923
1997-1,363.2221257,364.0784925
1997-2,362.7409294,364.9124428
1997-3,363.7649868,364.8317632
1997-4,366.3192673,367.5799471
1997-5,366.1118736,367.6378758
1997-6,364.9566395,365.8202267
1997-7,364.4199243,364.8664332
1997-8,361.8539585,363.1052569
1997-9,358.5320632,361.2503454
1997-10,359.7401507,361.9747676
1997-11,362.2115649,362.4960439
1997-12,362.8549729,364.3988978
